sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-A2-A3XT-01,0.03820991,0.011336657,0.026086196,-0.0050446293,0.026492627,-0.041657187,-0.033041798
TCGA-A2-A3XU-01,0.035578787,-0.010379167,-0.059734344,0.0126557555,0.017376501,-0.0061964663,0.02195235
TCGA-A2-A3XV-01,0.020336416,0.0038885314,-0.026710877,0.031724945,-0.033057094,-0.02423247,0.0040411158
TCGA-A2-A3XW-01,0.029571878,0.021478739,0.032037307,-0.021777023,-0.03738247,-0.0051136673,-0.0022562447
TCGA-A2-A3XX-01,0.021227496,0.03139261,-0.029312894,0.026572049,-0.0241765,0.03449045,0.033322677
TCGA-A2-A3XY-01,-0.017086307,-0.0054658614,-0.02288644,-0.0038032858,-0.012112664,-3.449805e-05,0.021522272
TCGA-A2-A3XZ-01,0.023822978,0.023801543,-0.030397337,-0.022467775,-0.039607838,0.029864157,-0.0067521622
TCGA-A2-A3Y0-01,0.019665428,-0.013842693,-0.0030142711,-0.02930411,0.00690088,-0.00913581,0.0005725343
TCGA-A2-A4RW-01,0.011239106,0.02515034,-0.036746625,-0.0021189274,-0.025039425,0.016548693,0.002900282
TCGA-A2-A4RX-01,0.02867638,0.008987285,0.010487389,-0.060027797,-0.016019743,-0.015032311,-0.031766433
TCGA-A2-A4RY-01,0.0054706447,-0.017274609,-0.020665908,-0.015755622,0.009671119,-0.012820963,-0.0050615696
TCGA-A2-A4S0-01,-0.014345508,-0.007525392,0.014597788,0.007174839,-0.04876579,-0.05345569,0.008017287
TCGA-A2-A4S1-01,-0.014106061,0.022101257,-0.008783446,-0.0023942266,0.015361976,-0.014865838,0.0040713265
TCGA-A2-A4S2-01,-0.04551332,-0.029444885,0.014452369,0.01128228,-0.037536316,-0.03619211,-0.0076781837
TCGA-A2-A4S3-01,0.026047956,0.025397185,-0.021057058,-0.027640646,0.03057241,-0.009781501,-0.024174271
TCGA-A7-A0CD-01,0.018812489,0.04266254,0.03739178,0.02962346,-0.049447834,0.02593547,0.02409646
TCGA-A7-A0CE-01,0.037003413,-0.013778542,-0.013901448,-0.0042469045,0.01330359,0.009131049,-0.009177642
TCGA-A7-A0CE-11,0.014801768,0.037158504,0.012185187,-0.016926788,-0.013798082,0.007465303,0.0029124015
TCGA-A7-A0CG-01,0.012272568,-0.000990463,0.008305032,-0.046249796,-0.014721515,0.008523949,-0.04185926
TCGA-A7-A0CH-01,0.0013675501,0.017621178,-0.039563697,-0.018014127,-0.04150568,0.03617978,0.029853432
TCGA-A7-A0CH-11,0.020688023,-0.015754808,0.014482889,-0.0034558338,-0.00029428676,0.037442934,-0.026994105
TCGA-A7-A0CJ-01,-0.009892223,0.053557504,-0.024884045,0.0045504766,-0.009744713,-0.010179012,0.021604706
TCGA-A7-A0D9-01,-0.012549292,0.040556822,0.04566262,0.032274865,-0.014695773,0.074623674,0.011997879
TCGA-A7-A0D9-11,0.024549402,0.046213634,0.040957697,0.018748958,0.053103197,-0.0072453483,0.025043394
TCGA-A7-A0DA-01,-0.018793564,-0.065259315,-0.05401993,-0.02812873,0.015639542,-0.027303675,0.062714584
TCGA-A7-A0DB-01,-0.022750303,-0.038419425,-0.01957137,-0.017044619,-0.03356261,-0.0184906,-0.067675225
TCGA-A7-A0DB-11,-0.021409053,-0.0030979249,0.008905475,-0.017514888,-0.020959772,0.000302313,-0.023883957
TCGA-A7-A0DC-01,0.01705017,0.011565788,0.011344435,-0.0135254795,-0.044947986,0.011658767,0.057662524
TCGA-A7-A0DC-11,-0.016025327,-0.022116916,-0.006320121,0.018888038,-0.0021095914,-0.015590732,0.02987853
TCGA-A7-A13D-01,-0.042921703,-0.059963115,-0.014568598,0.038493183,0.014877483,0.040923152,0.052601263
TCGA-A7-A13E-01,-0.0007184511,0.012643227,0.018982764,0.054374542,0.014305463,-0.018647026,0.027655631
TCGA-A7-A13E-11,-0.024947293,-0.022160891,-0.035991147,0.016358271,-0.029978167,-0.0023091324,0.012970857
TCGA-A7-A13F-01,0.00015776232,0.022421516,0.05131349,0.010519909,-0.0009197248,-0.01822363,0.07377392
TCGA-A7-A13F-11,0.005520357,-0.019921614,0.019453494,0.015434297,-0.013061409,-0.056589548,0.0042052995
TCGA-A7-A13G-01,-0.030310418,0.05157291,-0.021172285,-0.05916868,0.027302237,0.0048783543,-0.032735854
TCGA-A7-A13G-11,0.021665812,-0.026775153,-0.024772502,0.048436258,-0.009313066,0.025424035,0.04237734
TCGA-A7-A13H-01,-0.0033655148,0.029649546,0.043951374,0.023324352,0.0026723074,-0.029712409,0.04840832
TCGA-A7-A26E-01,-0.009038681,-7.4787764e-05,0.024310028,0.019408276,-0.034549847,0.03309724,0.009121319
TCGA-A7-A26F-01,0.010943731,0.022997214,-0.02992818,-0.02311882,-0.0040113814,0.0110169975,-0.042028982
TCGA-A7-A26G-01,0.0065073827,-0.010189749,-0.049925026,-0.06399292,0.02452097,-0.0010693576,-0.016285423
TCGA-A7-A26H-01,0.04784268,-0.015970055,0.004668974,-0.04883551,0.021817423,0.005261652,-0.005543122
TCGA-A7-A26I-01,0.040267423,0.04915317,0.08925089,-0.039295517,-0.005344203,0.018161578,0.005872895
TCGA-A7-A26J-01,-0.044773094,-0.02556215,-0.03135963,0.02357417,-0.011430293,0.007375106,-0.03421472
TCGA-A7-A2KD-01,-0.04201009,0.02514471,0.01240801,0.034140974,-0.025997069,0.0890322,0.057486262
TCGA-A7-A3IY-01,-0.020409338,0.029918917,-0.026581172,-0.05138056,0.0064518694,-0.057568353,0.05418261
TCGA-A7-A3IZ-01,0.020690154,0.0013096686,0.031302918,0.001735941,0.04056108,0.005893065,-0.024194583
TCGA-A7-A3J0-01,0.04003554,-0.02141924,-0.003940997,-0.043954898,0.03677675,0.01608543,-0.028078374
TCGA-A7-A3J1-01,-0.038186193,-0.0076633953,0.00854977,-0.014466554,0.01899851,0.013670016,-0.026909832
